what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115692243
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1353115699939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115703961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115705155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115715262
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115756345
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115760242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115761464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115763759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115780204
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115789314
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1353115790305
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1353115790548
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1353115790851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115793076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115798959
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1353115804277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1353115805083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1353115808979
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115812175
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115813165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115813506
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115813974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115816107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115817327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115824833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115873547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115881069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115888422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115892151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115892219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115892978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115899935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1353115900755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1353115901902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115905549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115906486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115912238
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1353115913211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1353115914734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1353115914963
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115933913
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115934036
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353115934414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115936298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115937799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115944536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115946566
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1353115948666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115949889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115952723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115976484
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1353115977657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353115997300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353115998545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353116005884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353116020686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353116032558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353116033873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353116043147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1353116060054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353116063669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353116071088
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1353116088004
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1353116088968
